dtg,value
02-01-2011,3.7
02-01-2011,3.8
02-01-2011,4.3
02-02-2011,3
02-02-2011,3
02-02-2011,3.1
02-02-2011,3.1
02-02-2011,3.2
02-02-2011,3.2
02-02-2011,3.3
02-02-2011,3.4
02-02-2011,3.5
02-03-2011,3
02-03-2011,3
02-03-2011,3
02-03-2011,3
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.2
02-03-2011,3.3
02-03-2011,3.3
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.5
02-03-2011,3.5
02-03-2011,3.6
02-03-2011,3.6
02-03-2011,4
02-03-2011,4.2
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3.1
02-04-2011,3.3
02-04-2011,3.3
02-04-2011,3.5
02-04-2011,3.7
02-04-2011,4.4
02-05-2011,3
02-05-2011,3
02-05-2011,3
02-05-2011,3.1
02-05-2011,3.1
02-05-2011,3.1
02-05-2011,3.2
02-05-2011,3.2
02-05-2011,3.3
02-05-2011,3.4
02-05-2011,3.4
02-05-2011,3.5
02-05-2011,3.6
02-05-2011,4.1
02-06-2011,3
02-06-2011,3.7
02-06-2011,3.8
02-07-2011,3.3
02-07-2011,3.5
02-07-2011,3.5
02-07-2011,3.6
02-08-2010,3
02-08-2010,3
02-08-2010,3.1
02-08-2010,3.1
02-08-2010,3.1
02-08-2010,3.2
02-08-2010,3.2
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.4
02-08-2010,3.4
02-08-2010,3.4
02-08-2010,3.8
02-08-2010,3.8
02-08-2010,3.9
02-08-2010,4
02-08-2010,4.2
02-08-2010,4.3
02-08-2010,4.3
02-08-2010,5.2
02-08-2011,3
02-08-2011,3
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.2
02-08-2011,3.2
02-08-2011,3.3
02-08-2011,3.4
02-08-2011,3.4
02-08-2011,3.4
02-08-2011,3.5
02-08-2011,3.6
02-08-2011,3.6
02-08-2011,3.7
02-08-2011,3.8
02-08-2011,3.8
02-08-2011,3.9
02-08-2011,4
02-08-2011,4.2
02-09-2010,3.1
02-09-2010,3.1
02-09-2010,3.4
02-09-2010,3.4
02-09-2010,3.5
02-09-2010,3.5
02-09-2011,3
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.2
02-09-2011,3.3
02-09-2011,3.3
02-09-2011,4
02-09-2011,4.4
02-10-2010,3
02-10-2010,3
02-10-2010,3
02-10-2010,3
02-10-2010,3.1
02-10-2010,3.1
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.3
02-10-2010,3.3
02-10-2010,3.3
02-10-2010,3.4
02-10-2010,3.6
02-10-2010,3.6
02-10-2010,3.8
02-10-2010,4.9
02-10-2010,5.3
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.2
02-10-2011,3.2
02-10-2011,3.2
02-10-2011,3.3
02-10-2011,3.4
02-10-2011,3.5
02-10-2011,3.8
02-10-2011,4.8
02-11-2010,3.1
02-11-2010,3.3
02-11-2010,3.3
02-11-2010,3.4
02-11-2010,3.5
02-11-2010,3.5
02-11-2010,3.8
02-11-2010,3.9
02-11-2010,3.9
02-11-2011,3.1
02-11-2011,3.1
02-11-2011,3.2
02-11-2011,3.3
02-11-2011,3.9
02-12-2010,3
02-12-2010,3
02-12-2010,3.1
02-12-2010,3.2
02-12-2010,3.2
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.6
02-12-2010,3.6
02-12-2010,4.5
02-12-2010,4.6
02-12-2011,3
02-12-2011,3
02-12-2011,3
02-12-2011,3
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.3
02-12-2011,3.3
02-12-2011,3.4
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.6
02-12-2011,3.6
02-12-2011,3.6
02-12-2011,3.7
02-12-2011,4
02-12-2011,4
02-12-2011,4.1
02-12-2011,4.2
03-01-2011,3
03-01-2011,3
03-01-2011,3
03-01-2011,3.1
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.7
03-01-2011,3.8
03-01-2011,4
03-02-2011,3
03-02-2011,3
03-02-2011,3.1
03-02-2011,3.1
03-02-2011,3.1
03-02-2011,3.2
03-02-2011,3.2
03-02-2011,3.2
03-02-2011,3.3
03-02-2011,3.4
03-02-2011,3.4
03-02-2011,3.5
03-02-2011,3.7
03-02-2011,3.8
03-02-2011,4
03-02-2011,4.4
03-03-2011,3
03-03-2011,3
03-03-2011,3
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.2
03-03-2011,3.2
03-03-2011,3.3
03-03-2011,3.4
03-03-2011,3.4
03-03-2011,3.4
03-03-2011,3.5
03-03-2011,3.6
03-03-2011,3.6
03-03-2011,3.6
03-03-2011,3.7
03-03-2011,3.7
03-03-2011,3.9
03-03-2011,4.6
03-04-2011,3
03-04-2011,3
03-04-2011,3
03-04-2011,3
03-04-2011,3.1
03-04-2011,3.2
03-04-2011,3.2
03-04-2011,3.2
03-04-2011,3.6
03-04-2011,3.6
03-05-2011,3
03-05-2011,3
03-05-2011,3
03-05-2011,3
03-05-2011,3.2
03-05-2011,3.2
03-05-2011,3.3
03-05-2011,3.3
03-05-2011,3.4
03-05-2011,3.8
03-05-2011,3.9
03-05-2011,4.9
03-06-2011,3
03-06-2011,3
03-06-2011,3
03-06-2011,3.1
03-06-2011,3.1
03-06-2011,3.1
03-06-2011,3.2
03-06-2011,3.2
03-06-2011,3.2
03-06-2011,3.2
03-06-2011,3.3
03-06-2011,3.5
03-06-2011,3.7
03-06-2011,4.1
03-06-2011,4.4
03-07-2011,3
03-07-2011,3.1
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.3
03-07-2011,3.3
03-07-2011,3.5
03-07-2011,3.5
03-07-2011,3.6
03-07-2011,3.9
03-07-2011,4.4
03-08-2010,3
03-08-2010,3.1
03-08-2010,3.3
03-08-2010,3.4
03-08-2010,3.4
03-08-2010,3.5
03-08-2010,3.5
03-08-2010,3.7
03-08-2011,3
03-08-2011,3
03-08-2011,3.2
03-08-2011,3.3
03-08-2011,3.4
03-08-2011,3.4
03-08-2011,3.4
03-08-2011,3.5
03-08-2011,3.6
03-08-2011,4.2
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.9
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.2
03-09-2010,5.2
03-09-2010,5.2
03-09-2010,5.3
03-09-2010,5.3
03-09-2010,5.3
03-09-2010,5.4
03-09-2010,5.4
03-09-2010,5.5
03-09-2010,5.5
03-09-2010,5.5
03-09-2010,5.9
03-09-2010,7.1
03-09-2011,3
03-09-2011,3
03-09-2011,3
03-09-2011,3.1
03-09-2011,3.2
03-09-2011,3.2
03-09-2011,3.2
03-09-2011,3.3
03-09-2011,3.4
03-09-2011,3.7
03-09-2011,3.9
03-09-2011,4.3
03-10-2010,3
03-10-2010,3
03-10-2010,3
03-10-2010,3
03-10-2010,3.1
03-10-2010,3.1
03-10-2010,3.2
03-10-2010,3.2
03-10-2010,3.4
03-10-2010,3.4
03-10-2010,3.6
03-10-2010,3.8
03-10-2010,3.8
03-10-2010,4.2
03-10-2011,3
03-10-2011,3
03-10-2011,3
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.2
03-10-2011,3.3
03-10-2011,3.5
03-10-2011,3.8
03-10-2011,4.2
03-11-2010,3
03-11-2010,3
03-11-2010,3
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.2
03-11-2010,3.2
03-11-2010,3.2
03-11-2010,3.3
03-11-2010,3.3
03-11-2010,3.3
03-11-2010,3.4
03-11-2010,3.4
03-11-2010,3.5
03-11-2010,3.5
03-11-2010,3.5
03-11-2010,3.6
03-11-2010,3.6
03-11-2010,3.6
03-11-2010,3.9
03-11-2010,4.1
03-11-2010,4.2
03-11-2011,3
03-11-2011,3
03-11-2011,3.1
03-11-2011,3.3
03-11-2011,3.4
03-11-2011,3.4
03-11-2011,3.4
03-11-2011,3.6
03-11-2011,3.7
03-11-2011,3.7
03-11-2011,5.3
03-12-2010,3
03-12-2010,3.1
03-12-2010,3.1
03-12-2010,3.2
03-12-2010,3.2
03-12-2010,3.2
03-12-2010,3.4
03-12-2010,3.5
03-12-2010,3.6
03-12-2010,3.6
03-12-2010,3.6
03-12-2010,3.6
03-12-2010,3.7
03-12-2010,3.7
03-12-2011,3
03-12-2011,3
03-12-2011,3.2
03-12-2011,3.2
03-12-2011,3.2
03-12-2011,3.2
03-12-2011,3.3
03-12-2011,3.3
03-12-2011,3.3
03-12-2011,3.5
03-12-2011,3.5
03-12-2011,3.5
03-12-2011,3.5
03-12-2011,3.6
03-12-2011,3.6
03-12-2011,3.6
03-12-2011,3.7
03-12-2011,5.7
04-01-2011,3
04-01-2011,3
04-01-2011,3
04-01-2011,3
04-01-2011,3.1
04-01-2011,3.1
04-01-2011,3.1
04-01-2011,3.2
04-01-2011,3.2
04-01-2011,3.3
04-01-2011,3.3
04-01-2011,3.3
04-01-2011,3.3
04-01-2011,3.5
04-01-2011,3.5
04-01-2011,3.8
04-01-2011,3.8
04-01-2011,4.2
04-02-2011,3
04-02-2011,3
04-02-2011,3.1
04-02-2011,3.1
04-02-2011,3.2
04-02-2011,3.2
04-02-2011,3.3
04-02-2011,3.3
04-02-2011,3.3
04-02-2011,3.4
04-02-2011,3.8
04-02-2011,4
04-02-2011,4.6
04-03-2011,3
04-03-2011,3
04-03-2011,3
04-03-2011,3
04-03-2011,3
04-03-2011,3
04-03-2011,3.1
04-03-2011,3.1
04-03-2011,3.1
04-03-2011,3.1
04-03-2011,3.2
04-03-2011,3.3
04-03-2011,3.3
04-03-2011,3.3
04-03-2011,3.4
04-03-2011,3.4
04-03-2011,3.5
04-03-2011,3.6
04-03-2011,3.7
04-03-2011,3.7
04-03-2011,4.1
04-03-2011,4.1
04-04-2011,3
04-04-2011,3.1
04-04-2011,3.2
04-04-2011,3.2
04-04-2011,3.3
04-04-2011,3.3
04-04-2011,3.3
04-04-2011,3.4
04-04-2011,3.4
04-04-2011,3.5
04-04-2011,3.8
04-04-2011,3.9
04-04-2011,4
04-04-2011,4.3
04-05-2011,3
04-05-2011,3
04-05-2011,3.1
04-05-2011,3.1
04-05-2011,3.2
04-05-2011,3.2
04-05-2011,3.3
04-05-2011,3.3
04-05-2011,3.3
04-05-2011,3.3
04-05-2011,3.4
04-05-2011,3.4
04-05-2011,3.5
04-05-2011,3.6
04-05-2011,3.7
04-05-2011,3.7
04-05-2011,3.9
04-05-2011,4
04-05-2011,4.1
04-06-2011,3
04-06-2011,3.1
04-06-2011,3.1
04-06-2011,3.2
04-06-2011,3.3
04-06-2011,3.4
04-06-2011,3.4
04-06-2011,3.4
04-06-2011,3.7
04-06-2011,3.9
04-07-2010,3.4
04-07-2010,3.6
04-07-2010,3.7
04-07-2010,3.7
04-07-2011,3
04-07-2011,3
04-07-2011,3
04-07-2011,3.1
04-07-2011,3.2
04-07-2011,3.2
04-07-2011,3.2
04-07-2011,3.2
04-07-2011,3.2
04-07-2011,3.3
04-07-2011,3.3
04-07-2011,3.3
04-07-2011,3.3
04-07-2011,3.4
04-07-2011,3.5
04-07-2011,3.6
04-07-2011,3.7
04-07-2011,3.9
04-07-2011,3.9
04-07-2011,4.2
04-07-2011,5
04-08-2010,3.1
04-08-2010,3.3
04-08-2010,3.3
04-08-2010,3.5
04-08-2010,3.6
04-08-2010,3.8
04-08-2010,4.4
04-08-2011,3
04-08-2011,3.1
04-08-2011,3.1
04-08-2011,3.2
04-08-2011,3.3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.1
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
04-09-2010,3.2
